K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med
180,119,0.554526417305,0.554526417305,0.554526417305,0.554526417305
200,119,0.552948291367,0.552948291367,0.552948291367,0.552948291367
200,124,0.55229436919,0.551178007026,0.551401279458,0.551178007026
180,114,0.552083128274,0.552083128274,0.552083128274,0.552083128274
380,80,0.550096013539,0.550043419296,0.55008549469,0.550096013539
480,75,0.549001585214,0.549001585214,0.549001585214,0.549001585214
700,79,0.548893252703,0.548893252703,0.548893252703,0.548893252703
600,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
125,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
110,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
140,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
135,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
115,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
150,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
130,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
105,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
120,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
100,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
90,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
600,80,0.548501163414,0.548501163414,0.548501163414,0.548501163414
440,80,0.548490374812,0.548490374812,0.548490374812,0.548490374812
120,85,0.548226637573,0.547779601442,0.548137230347,0.548226637573
560,80,0.548208877076,0.548208877076,0.548208877076,0.548208877076
520,80,0.548039584582,0.548039584582,0.548039584582,0.548039584582
500,80,0.548039584582,0.548039584582,0.548039584582,0.548039584582
480,80,0.548039584582,0.548039584582,0.548039584582,0.548039584582
800,79,0.547867991736,0.547867991736,0.547867991736,0.547867991736
600,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
160,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
150,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
140,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
90,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
130,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
110,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
125,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
135,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
115,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
105,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
100,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
600,85,0.547779601442,0.547779601442,0.547779601442,0.547779601442
600,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
150,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
140,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
125,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
110,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
130,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
135,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
120,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
115,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
105,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
100,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
600,99,0.547701554939,0.547701554939,0.547701554939,0.547701554939
500,75,0.547635271061,0.54648789127,0.546717367228,0.54648789127
350,85,0.547503968281,0.547062450371,0.547150753953,0.547062450371
400,80,0.547481791774,0.547481791774,0.547481791774,0.547481791774
560,85,0.547457753845,0.547457753845,0.547457753845,0.547457753845
560,99,0.547132757296,0.547132757296,0.547132757296,0.547132757296
200,114,0.547083997531,0.547083997531,0.547083997531,0.547083997531
560,75,0.546458487918,0.543722769488,0.545911344232,0.546458487918
520,75,0.546289235072,0.546289235072,0.546289235072,0.546289235072
500,95,0.546027389381,0.545691049117,0.54575831717,0.545691049117
480,109,0.546003299658,0.546003299658,0.546003299658,0.546003299658
800,89,0.545975143778,0.545975143778,0.545975143778,0.545975143778
520,85,0.54586532923,0.545677583082,0.545715132312,0.545677583082
200,109,0.545803197665,0.545803197665,0.545803197665,0.545803197665
500,109,0.545783860528,0.545783860528,0.545783860528,0.545783860528
440,85,0.545756981562,0.545298302976,0.545665245845,0.545756981562
600,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
160,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
115,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
130,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
140,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
125,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
135,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
120,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
150,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
600,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
560,114,0.545735298023,0.545735298023,0.545735298023,0.545735298023
100,95,0.545666026605,0.545334707766,0.545599762837,0.545666026605
440,109,0.545622528583,0.545622528583,0.545622528583,0.545622528583
480,85,0.545532877637,0.545076121776,0.545441526465,0.545532877637
520,99,0.545521566577,0.545521566577,0.545521566577,0.545521566577
500,85,0.54550896157,0.543904005383,0.545187970333,0.54550896157
480,104,0.54550516404,0.54550516404,0.54550516404,0.54550516404
220,124,0.545406713319,0.545406713319,0.545406713319,0.545406713319
480,95,0.545395456875,0.544938170002,0.545029627376,0.544938170002
600,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
160,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
150,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
140,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
125,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
120,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
130,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
135,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
115,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
110,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
105,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
600,95,0.545334707766,0.545334707766,0.545334707766,0.545334707766
560,95,0.545265372224,0.545078753432,0.545228048466,0.545265372224
400,85,0.545216930869,0.544278598246,0.544466264771,0.544278598246
380,85,0.545216930869,0.544463778032,0.545066300302,0.545216930869
520,114,0.545167469158,0.544646326342,0.544750554906,0.544646326342
520,109,0.545060206073,0.545060206073,0.545060206073,0.545060206073
600,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
160,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
125,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
140,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
120,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
150,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
135,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
105,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
110,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
115,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
130,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
90,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
100,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
600,89,0.545019180722,0.545019180722,0.545019180722,0.545019180722
700,89,0.545014518907,0.54422186467,0.544380395518,0.54422186467
220,119,0.544954177528,0.544954177528,0.544954177528,0.544954177528
520,95,0.544745937473,0.544745937473,0.544745937473,0.544745937473
440,95,0.544642587876,0.544642587876,0.544642587876,0.544642587876
500,104,0.544599917526,0.544447621823,0.544478080964,0.544447621823
520,104,0.544599917526,0.544599917526,0.544599917526,0.544599917526
220,114,0.544588750701,0.544588750701,0.544588750701,0.544588750701
350,104,0.544533773325,0.544533773325,0.544533773325,0.544533773325
560,104,0.544530556668,0.544530556668,0.544530556668,0.544530556668
220,109,0.544467430199,0.544467430199,0.544467430199,0.544467430199
520,89,0.544398901335,0.544398901335,0.544398901335,0.544398901335
600,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
150,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
125,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
130,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
140,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
135,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
120,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
115,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
110,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
105,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
600,104,0.544385876358,0.544385876358,0.544385876358,0.544385876358
560,89,0.544380023516,0.544380023516,0.544380023516,0.544380023516
130,109,0.544359856881,0.543818076672,0.544251500839,0.544359856881
140,109,0.544359856881,0.544214774028,0.544243790599,0.544214774028
120,109,0.544359856881,0.544214774028,0.54433084031,0.544359856881
135,109,0.544359856881,0.544214774028,0.544243790599,0.544214774028
600,109,0.544359856881,0.544214774028,0.544243790599,0.544214774028
560,109,0.544359856881,0.544359856881,0.544359856881,0.544359856881
200,104,0.544326627213,0.544326627213,0.544326627213,0.544326627213
400,99,0.544323580417,0.544323580417,0.544323580417,0.544323580417
380,99,0.544316475906,0.544316475906,0.544316475906,0.544316475906
350,89,0.544311269418,0.544311269418,0.544311269418,0.544311269418
600,109,0.544214774028,0.544214774028,0.544214774028,0.544214774028
160,109,0.544214774028,0.543818076672,0.544135434557,0.544214774028
150,109,0.544214774028,0.544214774028,0.544214774028,0.544214774028
115,109,0.544214774028,0.544214774028,0.544214774028,0.544214774028
110,109,0.544214774028,0.544214774028,0.544214774028,0.544214774028
125,109,0.544214774028,0.544214774028,0.544214774028,0.544214774028
250,119,0.544203499526,0.544203499526,0.544203499526,0.544203499526
220,99,0.544194648023,0.544194648023,0.544194648023,0.544194648023
500,114,0.544095339424,0.544095339424,0.544095339424,0.544095339424
480,114,0.544095339424,0.544095339424,0.544095339424,0.544095339424
600,75,0.544012686415,0.540672177469,0.541340279258,0.540672177469
400,109,0.543885583118,0.543885583118,0.543885583118,0.543885583118
600,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
150,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
130,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
135,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
140,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
125,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
600,124,0.543879308723,0.543879308723,0.543879308723,0.543879308723
500,89,0.54387269971,0.54387269971,0.54387269971,0.54387269971
350,99,0.543867341511,0.543867341511,0.543867341511,0.543867341511
440,89,0.543858978227,0.543858978227,0.543858978227,0.543858978227
400,95,0.543835909657,0.543835909657,0.543835909657,0.543835909657
240,109,0.543819729006,0.543819729006,0.543819729006,0.543819729006
600,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
160,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
135,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
120,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
140,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
150,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
130,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
125,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
600,119,0.543799242503,0.543799242503,0.543799242503,0.543799242503
240,104,0.543676174365,0.543676174365,0.543676174365,0.543676174365
300,104,0.543668208052,0.543668208052,0.543668208052,0.543668208052
480,89,0.543637297735,0.543637297735,0.543637297735,0.543637297735
220,104,0.543612001951,0.543612001951,0.543612001951,0.543612001951
270,114,0.543519223354,0.543426318923,0.54344489981,0.543426318923
240,114,0.543516148796,0.543516148796,0.543516148796,0.543516148796
240,119,0.543480807878,0.543480807878,0.543480807878,0.543480807878
270,99,0.543396181496,0.543331992558,0.543344830345,0.543331992558
240,99,0.543376844467,0.543376844467,0.543376844467,0.543376844467
300,99,0.543261242941,0.543261242941,0.543261242941,0.543261242941
250,114,0.54325545244,0.54325545244,0.54325545244,0.54325545244
400,104,0.543224967207,0.543224967207,0.543224967207,0.543224967207
560,119,0.543177235586,0.543177235586,0.543177235586,0.543177235586
300,95,0.543165021464,0.543165021464,0.543165021464,0.543165021464
440,99,0.543088182179,0.542366681442,0.54251098159,0.542366681442
380,95,0.543071398601,0.543071398601,0.543071398601,0.543071398601
440,114,0.54306945129,0.54306945129,0.54306945129,0.54306945129
380,104,0.543058403921,0.543058403921,0.543058403921,0.543058403921
440,104,0.543051792393,0.543051792393,0.543051792393,0.543051792393
250,104,0.543046008459,0.543046008459,0.543046008459,0.543046008459
480,99,0.542911369898,0.542662501598,0.542712275258,0.542662501598
500,99,0.542864879603,0.542864879603,0.542864879603,0.542864879603
270,104,0.542835455906,0.542835455906,0.542835455906,0.542835455906
250,109,0.542803462115,0.542803462115,0.542803462115,0.542803462115
300,109,0.542745121213,0.542745121213,0.542745121213,0.542745121213
300,114,0.542646641961,0.541204373206,0.541492826957,0.541204373206
250,99,0.542630563989,0.542630563989,0.542630563989,0.542630563989
270,95,0.542571264343,0.542571264343,0.542571264343,0.542571264343
380,109,0.542471420943,0.542471420943,0.542471420943,0.542471420943
520,119,0.542462400492,0.542462400492,0.542462400492,0.542462400492
400,89,0.542447491498,0.542324688855,0.542349249384,0.542324688855
270,109,0.542414091422,0.542414091422,0.542414091422,0.542414091422
250,95,0.542410763892,0.542410763892,0.542410763892,0.542410763892
