K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
70,2.5,0.535015120257,0.535015120257,0.535015120257,0.535015120257
70,3,0.531262555071,0.531262555071,0.531262555071,0.531262555071
70,3.5,0.53050399724,0.53050399724,0.53050399724,0.53050399724
300,1.5,0.529141066003,0.529141066003,0.529141066003,0.529141066003
270,1.5,0.52785311307,0.52785311307,0.52785311307,0.52785311307
70,4,0.525436037644,0.525436037644,0.525436037644,0.525436037644
350,1.5,0.525398704577,0.525398704577,0.525398704577,0.525398704577
100,2.5,0.524210848242,0.524210848242,0.524210848242,0.524210848242
90,2.5,0.523944393775,0.523944393775,0.523944393775,0.523944393775
70,4.5,0.523894241128,0.523894241128,0.523894241128,0.523894241128
70,5,0.523336021029,0.523336021029,0.523336021029,0.523336021029
70,5.5,0.523154381372,0.523154381372,0.523154381372,0.523154381372
250,1.5,0.523104161787,0.523104161787,0.523104161787,0.523104161787
90,3,0.522842647441,0.522842647441,0.522842647441,0.522842647441
90,3.5,0.521973011299,0.521973011299,0.521973011299,0.521973011299
70,6.5,0.521543222662,0.521543222662,0.521543222662,0.521543222662
70,7,0.521163550348,0.521163550348,0.521163550348,0.521163550348
70,6,0.521082292847,0.521082292847,0.521082292847,0.521082292847
70,7.5,0.520271291275,0.520271291275,0.520271291275,0.520271291275
90,4,0.520157728104,0.520157728104,0.520157728104,0.520157728104
70,8.5,0.520048023552,0.519722596789,0.519982938199,0.520048023552
70,7.7,0.519664379297,0.519664379297,0.519664379297,0.519664379297
70,9,0.519639928953,0.519356461806,0.519583235523,0.519639928953
70,12.9,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,13.2,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,13.5,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,13.8,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14.2,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14.4,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14.6,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14.7,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,14.9,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,15.5,0.519464322506,0.519464322506,0.519464322506,0.519464322506
70,9.5,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,10,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,10.5,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,11,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,11.5,0.519356461806,0.519356461806,0.519356461806,0.519356461806
70,11.7,0.519356461806,0.519356461806,0.519356461806,0.519356461806
