K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,,,,,,,,,,
300,3.5,0.102926305131,0.102136189018,0.10229421224,0.102136189018,,,,,,,,,,
220,7,0.102804713584,0.102609932555,0.102765757379,0.102804713584,,,,,,,,,,
270,2.5,0.1027807846,0.102126971789,0.102650022038,0.1027807846,,,,,,,,,,
240,2.5,0.102699149272,0.102025677846,0.102564454987,0.102699149272,,,,,,,,,,
200,1.5,0.102473101268,0.102444578768,0.102450283268,0.102444578768,,,,,,,,,,
250,6.5,0.102433269938,0.10237846677,0.102422309304,0.102433269938,,,,,,,,,,
220,1.1,0.102324720187,0.102068013433,0.102273378836,0.102324720187,,,,,,,,,,
220,3,0.102216231131,0.101159942322,0.102004973369,0.102216231131,,,,,,,,,,
220,16,0.102198081685,0.101392741752,0.102037013699,0.102198081685,,,,,,,,,,
250,3.5,0.102085545002,0.101343842949,0.10149218336,0.101343842949,,,,,,,,,,
220,14.7,0.102070795079,0.101167249551,0.101347958657,0.101167249551,,,,,,,,,,
240,8.1,0.102031798023,0.101272709835,0.101879980385,0.102031798023,,,,,,,,,,
220,14.4,0.101933868872,0.101072117144,0.10124446749,0.101072117144,,,,,,,,,,
250,10.5,0.101751923387,0.101257481344,0.101653034978,0.101751923387,,,,,,,,,,
240,11.5,0.101694638002,0.100944323601,0.101544575122,0.101694638002,,,,,,,,,,
220,6,0.10168200521,0.10063061,0.100840889042,0.10063061,,,,,,,,,,
250,16,0.101681874162,0.101510933378,0.101545121535,0.101510933378,,,,,,,,,,
250,11,0.101665271668,0.101402309518,0.101454901948,0.101402309518,,,,,,,,,,
270,7.9,0.101577946236,0.10029345899,0.101321048787,0.101577946236,,,,,,,,,,
220,13.5,0.101575624834,0.101437690451,0.101465277327,0.101437690451,,,,,,,,,,
300,3,0.101550830233,0.100717207384,0.100883931954,0.100717207384,,,,,,,,,,
220,14.6,0.101535621079,0.10067746246,0.100849094184,0.10067746246,,,,,,,,,,
220,6.5,0.101479176722,0.100239462653,0.100487405467,0.100239462653,,,,,,,,,,
250,12.3,0.101479125604,0.10035497922,0.100579808497,0.10035497922,,,,,,,,,,
240,7.7,0.1012883223,0.100261362324,0.100466754319,0.100261362324,,,,,,,,,,
240,8.5,0.101283866906,0.100910937421,0.101209281009,0.101283866906,,,,,,,,,,
240,8,0.101254399603,0.101167075306,0.101236934744,0.101254399603,,,,,,,,,,
240,3.5,0.101098880436,0.100298510863,0.100938806522,0.101098880436,,,,,,,,,,
240,4.5,0.101074535907,0.100880744611,0.101035777648,0.101074535907,,,,,,,,,,
250,8.1,0.101073900632,0.100410686313,0.100543329177,0.100410686313,,,,,,,,,,
250,7.9,0.101069577316,0.100958235703,0.101047308993,0.101069577316,,,,,,,,,,
220,14,0.101061932387,0.100895291547,0.100928619715,0.100895291547,,,,,,,,,,
250,12,0.10099095154,0.100563238872,0.100905409006,0.10099095154,,,,,,,,,,
220,13.8,0.100973985106,0.100418827101,0.100529858702,0.100418827101,,,,,,,,,,
250,4.5,0.100971348884,0.100920237938,0.100930460127,0.100920237938,,,,,,,,,,
300,8.3,0.100959314693,0.100113874512,0.100790226657,0.100959314693,,,,,,,,,,
250,11.5,0.100946065375,0.10024079734,0.100805011768,0.100946065375,,,,,,,,,,
220,11,0.100933147705,0.100191114746,0.100339521338,0.100191114746,,,,,,,,,,
240,14.7,0.100924637469,0.100618321528,0.100863374281,0.100924637469,,,,,,,,,,
240,10.5,0.100922429488,0.100381234846,0.100489473775,0.100381234846,,,,,,,,,,
220,8,0.100910692981,0.0996827805174,0.0999283630102,0.0996827805174,,,,,,,,,,
240,1.5,0.100886807818,0.100343966552,0.100778239565,0.100886807818,,,,,,,,,,
240,13.8,0.100779365318,0.0999761234912,0.100618716953,0.100779365318,,,,,,,,,,
220,7.5,0.100756745533,0.100580127702,0.100721421967,0.100756745533,,,,,,,,,,
200,2,0.100703750482,0.100698531806,0.100699575541,0.100698531806,,,,,,,,,,
250,7.5,0.100648176113,0.100257429162,0.100570026723,0.100648176113,,,,,,,,,,
240,7.9,0.100640610244,0.100378755958,0.100588239387,0.100640610244,,,,,,,,,,
200,8,0.100631440658,0.100040370603,0.100513226647,0.100631440658,,,,,,,,,,
220,14.9,0.10060627427,0.0999017560946,0.100465370635,0.10060627427,,,,,,,,,,
250,14.2,0.100584028814,0.100366670699,0.100540557191,0.100584028814,,,,,,,,,,
220,11.9,0.100579425822,0.100334492431,0.100530439144,0.100579425822,,,,,,,,,,
240,16,0.100522738185,0.0998658913134,0.100391368811,0.100522738185,,,,,,,,,,
240,8.3,0.100493183558,0.098475886374,0.0988793458108,0.098475886374,,,,,,,,,,
240,10,0.100472469139,0.0994288883846,0.100263752988,0.100472469139,,,,,,,,,,
220,14.2,0.100471673419,0.099282966484,0.099520707871,0.099282966484,,,,,,,,,,
220,4,0.100458397579,0.0997735237776,0.099910498538,0.0997735237776,,,,,,,,,,
150,5.5,0.100443621836,0.10043879548,0.100442656565,0.100443621836,,,,,,,,,,
220,8.5,0.100411816583,0.100340299329,0.10035460278,0.100340299329,,,,,,,,,,
250,6,0.100410304463,0.100114597898,0.100173739211,0.100114597898,,,,,,,,,,
240,12,0.100369374328,0.0990199953044,0.0992898711091,0.0990199953044,,,,,,,,,,
300,8.5,0.100304286353,0.0994700245196,0.0996368768863,0.0994700245196,,,,,,,,,,
220,8.3,0.100291289087,0.099573165685,0.100147664407,0.100291289087,,,,,,,,,,
220,8.1,0.100273073069,0.0999502745941,0.100208513374,0.100273073069,,,,,,,,,,
240,6,0.100262208278,0.0999895998547,0.100207686594,0.100262208278,,,,,,,,,,
240,12.9,0.100201047241,0.100183643037,0.1001975664,0.100201047241,,,,,,,,,,
250,10,0.100188929945,0.100051126855,0.100161369327,0.100188929945,,,,,,,,,,
240,4,0.100116858815,0.0991115495542,0.0999157969629,0.100116858815,,,,,,,,,,
240,5,0.100109968121,0.0993499200881,0.0999579585146,0.100109968121,,,,,,,,,,
270,1.1,0.100104154123,0.0996634163107,0.100016006561,0.100104154123,,,,,,,,,,
240,7,0.100097098254,0.0986960037291,0.0989762226341,0.0986960037291,,,,,,,,,,
240,14.2,0.100091564325,0.0998575795693,0.0999043765205,0.0998575795693,,,,,,,,,,
250,4,0.100059628787,0.0995378650808,0.099642217822,0.0995378650808,,,,,,,,,,
240,7.5,0.100047238869,0.0990033586886,0.0998384628328,0.100047238869,,,,,,,,,,
180,1.1,0.100046546685,0.0995317852609,0.0996347375457,0.0995317852609,,,,,,,,,,
240,11.7,0.100012501257,0.100010763363,0.100011110942,0.100010763363,,,,,,,,,,
250,9.5,0.0999894674679,0.0996923558501,0.0999300451443,0.0999894674679,,,,,,,,,,
250,5.5,0.0999644102622,0.0990676143671,0.0997850510832,0.0999644102622,,,,,,,,,,
220,11.7,0.0999575952313,0.0998011065389,0.0998324042774,0.0998011065389,,,,,,,,,,
270,6.5,0.0999258473302,0.0993582250928,0.0998123228827,0.0999258473302,,,,,,,,,,
200,14.9,0.0999138210458,0.0990968399135,0.0997504248194,0.0999138210458,,,,,,,,,,
250,12.6,0.0998181940432,0.0996544041399,0.0996871621206,0.0996544041399,,,,,,,,,,
250,7,0.0998052722995,0.0993641994902,0.0994524140521,0.0993641994902,,,,,,,,,,
250,8,0.0998008632696,0.0992006707395,0.0993207092455,0.0992006707395,,,,,,,,,,
200,8.1,0.0997864353757,0.0993639109266,0.0994484158164,0.0993639109266,,,,,,,,,,
180,4,0.0997841834183,0.0995733874049,0.0997420242156,0.0997841834183,,,,,,,,,,
200,2.5,0.099783512455,0.0995205672327,0.0995731562772,0.0995205672327,,,,,,,,,,
250,11.9,0.0996883914313,0.0981341440338,0.0984449935133,0.0981341440338,,,,,,,,,,
220,10,0.0996524848138,0.0985463871467,0.0994312652804,0.0996524848138,,,,,,,,,,
200,6.5,0.0996178837011,0.0992965374944,0.0993608067357,0.0992965374944,,,,,,,,,,
250,3,0.0995928983425,0.0994287389727,0.0995600664685,0.0995928983425,,,,,,,,,,
200,7.5,0.0995879567908,0.099539170263,0.0995489275686,0.099539170263,,,,,,,,,,
240,13.5,0.0995862609937,0.099399190834,0.0995488469617,0.0995862609937,,,,,,,,,,
200,3,0.0993662494636,0.0985988224159,0.0992127640541,0.0993662494636,,,,,,,,,,
180,10.5,0.099348105233,0.0992113207278,0.0993207483319,0.099348105233,,,,,,,,,,
250,9,0.0993202518454,0.0980580223692,0.0990678059502,0.0993202518454,,,,,,,,,,
250,2,0.099281071097,0.0985482736459,0.0991345116068,0.099281071097,,,,,,,,,,
160,1.1,0.0991824344865,0.0989744442138,0.099140836432,0.0991824344865,,,,,,,,,,
220,13.2,0.0991476761388,0.0988076686227,0.0988756701259,0.0988076686227,,,,,,,,,,
200,6,0.0990954168503,0.09863535622,0.098727368346,0.09863535622,,,,,,,,,,
220,10.5,0.0990879911751,0.0988175155406,0.0990338960482,0.0990879911751,,,,,,,,,,
200,8.3,0.0990772026658,0.0986335205503,0.0989884662427,0.0990772026658,,,,,,,,,,
240,2,0.0990451339797,0.0989845507623,0.0990330173362,0.0990451339797,,,,,,,,,,
180,14.7,0.0990064810381,0.0983725197087,0.0988796887722,0.0990064810381,,,,,,,,,,
270,12,0.0989562131306,0.0983432825898,0.0988336270224,0.0989562131306,,,,,,,,,,
250,1.5,0.0989235909873,0.0988247690577,0.0988445334437,0.0988247690577,,,,,,,,,,
180,15.5,0.098902118577,0.0984580288295,0.098546846779,0.0984580288295,,,,,,,,,,
270,13.2,0.0988917862384,0.0986000013146,0.0986583582993,0.0986000013146,,,,,,,,,,
180,14.9,0.0988662995838,0.0976514955783,0.0986233387827,0.0988662995838,,,,,,,,,,
200,14.7,0.0986889953731,0.0981467304532,0.0985805423891,0.0986889953731,,,,,,,,,,
240,12.6,0.0986802304551,0.0981952376147,0.0982922361828,0.0981952376147,,,,,,,,,,
240,11,0.0986791185062,0.0982737240835,0.098354802968,0.0982737240835,,,,,,,,,,
220,15.5,0.0986560404529,0.0986264851271,0.0986501293877,0.0986560404529,,,,,,,,,,
220,7.7,0.0986251963634,0.0979305571605,0.0980694850011,0.0979305571605,,,,,,,,,,
240,14.4,0.0986149633625,0.0985585294387,0.0985698162235,0.0985585294387,,,,,,,,,,
180,11,0.0985220525368,0.0981027827511,0.0984381985797,0.0985220525368,,,,,,,,,,
220,5,0.0984978827109,0.0982710626393,0.0984525186966,0.0984978827109,,,,,,,,,,
200,7.9,0.0984772325576,0.0982104947859,0.0984238850032,0.0984772325576,,,,,,,,,,
240,9.5,0.0984655472744,0.098364835561,0.0983849779037,0.098364835561,,,,,,,,,,
270,11,0.0984625244609,0.0970469612167,0.0981794118121,0.0984625244609,,,,,,,,,,
270,1.5,0.0984259150545,0.0983448426885,0.0983610571617,0.0983448426885,,,,,,,,,,
220,12.6,0.098420948267,0.0977218921231,0.0978617033519,0.0977218921231,,,,,,,,,,
250,2.5,0.0983213292647,0.0981847025217,0.0982940039161,0.0983213292647,,,,,,,,,,
220,2,0.0983034527461,0.0976132891721,0.0977513218869,0.0976132891721,,,,,,,,,,
270,12.1,0.0983024571435,0.09702785743,0.0980475372008,0.0983024571435,,,,,,,,,,
180,13.2,0.098273957118,0.098164006179,0.0981859963668,0.098164006179,,,,,,,,,,
240,9,0.0982535277148,0.0979120522341,0.0979803473302,0.0979120522341,,,,,,,,,,
270,14.4,0.0981785170108,0.098132648814,0.0981418224534,0.098132648814,,,,,,,,,,
180,1.5,0.0981750613946,0.0979001630165,0.098120081719,0.0981750613946,,,,,,,,,,
180,2.5,0.0981660721954,0.0975090180961,0.0980346613756,0.0981660721954,,,,,,,,,,
200,4,0.09813833631,0.098084474866,0.0981275640212,0.09813833631,,,,,,,,,,
270,10.5,0.0981086928031,0.0977156067664,0.0977942239737,0.0977156067664,,,,,,,,,,
200,8.5,0.0981058040963,0.0977088881555,0.0977882713437,0.0977088881555,,,,,,,,,,
200,7,0.0980898203548,0.0978374964936,0.0980393555825,0.0980898203548,,,,,,,,,,
240,3,0.0980525203108,0.0979336706856,0.0980287503858,0.0980525203108,,,,,,,,,,
180,12.3,0.0979892469655,0.097283879646,0.0978481735016,0.0979892469655,,,,,,,,,,
220,12.3,0.0979798986014,0.0975618119035,0.0976454292431,0.0975618119035,,,,,,,,,,
240,12.3,0.0979332904481,0.0976055359571,0.0978677395499,0.0979332904481,,,,,,,,,,
220,12.9,0.0979073637828,0.0972934343319,0.0977845778927,0.0979073637828,,,,,,,,,,
240,6.5,0.0978981850011,0.0976428242098,0.0978471128429,0.0978981850011,,,,,,,,,,
180,6.5,0.0978519810035,0.0970074780032,0.0976830804034,0.0978519810035,,,,,,,,,,
250,8.5,0.0978295389375,0.0974045207424,0.0977445352985,0.0978295389375,,,,,,,,,,
180,3,0.0976692945307,0.0962587105776,0.0965408273682,0.0962587105776,,,,,,,,,,
180,8,0.0976516871562,0.09633679617,0.0965997743672,0.09633679617,,,,,,,,,,
220,7.9,0.0976492839545,0.0974218524693,0.0974673387664,0.0974218524693,,,,,,,,,,
220,2.5,0.0975833269027,0.0967264184146,0.0968978001122,0.0967264184146,,,,,,,,,,
220,12,0.0975468367983,0.0974947842527,0.0975364262892,0.0975468367983,,,,,,,,,,
240,12.1,0.0975030673825,0.0968830603183,0.0973790659697,0.0975030673825,,,,,,,,,,
270,16,0.0974633609241,0.0969958345007,0.0970893397853,0.0969958345007,,,,,,,,,,
270,12.9,0.0974535704071,0.0969810447316,0.0970755498667,0.0969810447316,,,,,,,,,,
180,13.8,0.0974475666278,0.0973406679171,0.0974261868856,0.0974475666278,,,,,,,,,,
270,14.7,0.0974329423466,0.0966277128183,0.096788758724,0.0966277128183,,,,,,,,,,
180,13.5,0.0973477182843,0.0964930971653,0.0966640213891,0.0964930971653,,,,,,,,,,
270,7.7,0.0973251043791,0.0968855882273,0.0972372011487,0.0973251043791,,,,,,,,,,
180,4.5,0.0972917517479,0.0971409993195,0.0971711498052,0.0971409993195,,,,,,,,,,
180,8.1,0.0972913909684,0.0968546395742,0.0972040406895,0.0972913909684,,,,,,,,,,
200,15.5,0.097192464879,0.0971646641776,0.0971702243179,0.0971646641776,,,,,,,,,,
200,5,0.0971620441388,0.0971085025533,0.0971192108704,0.0971085025533,,,,,,,,,,
180,12.6,0.0971355780702,0.0964554958365,0.0969995616235,0.0971355780702,,,,,,,,,,
300,9.5,0.0971287224766,0.0970845863275,0.0971198952468,0.0971287224766,,,,,,,,,,
180,11.7,0.0971067275582,0.0964678341445,0.0969789488754,0.0971067275582,,,,,,,,,,
180,3.5,0.0971020708757,0.0962561955348,0.096425370603,0.0962561955348,,,,,,,,,,
270,13.8,0.097096007628,0.0964028294048,0.0965414650495,0.0964028294048,,,,,,,,,,
200,9,0.0970617493821,0.0966915473562,0.0967655877614,0.0966915473562,,,,,,,,,,
180,9,0.0970272425423,0.0967538820598,0.0969725704458,0.0970272425423,,,,,,,,,,
240,14.9,0.0969805132326,0.0967594995396,0.096936310494,0.0969805132326,,,,,,,,,,
240,11.9,0.0968674159637,0.0968627894141,0.096863714724,0.0968627894141,,,,,,,,,,
240,13.2,0.0967762418703,0.0949401571742,0.0953073741134,0.0949401571742,,,,,,,,,,
250,7.7,0.0966768279395,0.0964817804899,0.0965207899799,0.0964817804899,,,,,,,,,,
200,5.5,0.0966527916781,0.0958037351604,0.095973546464,0.0958037351604,,,,,,,,,,
180,2,0.0966289239109,0.0962555083399,0.0965542407967,0.0966289239109,,,,,,,,,,
180,14.4,0.0966136401738,0.0966134811009,0.0966135129155,0.0966134811009,,,,,,,,,,
180,10,0.0965406997165,0.0963147103691,0.096495501847,0.0965406997165,,,,,,,,,,
220,3.5,0.0964726903315,0.0963915003091,0.0964077383136,0.0963915003091,,,,,,,,,,
270,11.5,0.0962111836051,0.0962009317116,0.0962091332264,0.0962111836051,,,,,,,,,,
180,12.1,0.0962074409181,0.0961171464194,0.0961352053192,0.0961171464194,,,,,,,,,,
270,2,0.0961898840276,0.0961479628786,0.0961814997978,0.0961898840276,,,,,,,,,,
180,6,0.0961291348005,0.0960441341039,0.0961121346612,0.0961291348005,,,,,,,,,,
180,11.5,0.0961031286196,0.0956560215575,0.0957454429699,0.0956560215575,,,,,,,,,,
200,7.7,0.0961012402283,0.0959939749891,0.0960797871804,0.0961012402283,,,,,,,,,,
220,5.5,0.0960150814714,0.0958686052872,0.0959857862346,0.0960150814714,,,,,,,,,,
270,3,0.0960126380859,0.0955846622878,0.0959270429263,0.0960126380859,,,,,,,,,,
180,5.5,0.095966585663,0.0952601483214,0.0958252981947,0.095966585663,,,,,,,,,,
180,12,0.0958557160603,0.095485333477,0.0957816395437,0.0958557160603,,,,,,,,,,
270,4,0.0957654606995,0.095677187813,0.0957478061222,0.0957654606995,,,,,,,,,,
270,14.2,0.0957084286716,0.0953057001986,0.0953862458932,0.0953057001986,,,,,,,,,,
180,16,0.0956665809893,0.0952536404777,0.0953362285801,0.0952536404777,,,,,,,,,,
270,12.3,0.0955080620733,0.0951647028751,0.0952333747148,0.0951647028751,,,,,,,,,,
270,14.9,0.0954883733283,0.0945665322677,0.0953040051162,0.0954883733283,,,,,,,,,,
270,8.3,0.0954834530259,0.0952431549902,0.0954353934188,0.0954834530259,,,,,,,,,,
270,11.7,0.0954351799445,0.0951591462354,0.0952143529772,0.0951591462354,,,,,,,,,,
270,11.9,0.0954012594892,0.0952443058917,0.0953698687697,0.0954012594892,,,,,,,,,,
270,9,0.0953507766393,0.0949847109822,0.0950579241136,0.0949847109822,,,,,,,,,,
270,14,0.0952509918116,0.0947776247621,0.0951563184017,0.0952509918116,,,,,,,,,,
270,9.5,0.0952478012294,0.0949599193714,0.095017495743,0.0949599193714,,,,,,,,,,
180,14.2,0.0952285175566,0.0948440876686,0.0949209736462,0.0948440876686,,,,,,,,,,
270,6,0.0952010401123,0.0934130356027,0.0937706365046,0.0934130356027,,,,,,,,,,
180,8.5,0.0951788147937,0.0945922394699,0.0947095545346,0.0945922394699,,,,,,,,,,
270,7.5,0.0950859119302,0.0950688565783,0.0950722676487,0.0950688565783,,,,,,,,,,
270,5,0.0950489305955,0.0948681284138,0.0949042888501,0.0948681284138,,,,,,,,,,
180,7.5,0.0950252724206,0.0939973410665,0.0942029273374,0.0939973410665,,,,,,,,,,
180,12.9,0.0949884182983,0.0949066165802,0.0949720579547,0.0949884182983,,,,,,,,,,
270,8.5,0.0947476210942,0.0946264817579,0.0946507096251,0.0946264817579,,,,,,,,,,
270,8.1,0.094640312692,0.0946034783441,0.0946329458225,0.094640312692,,,,,,,,,,
140,6.5,0.0946314211712,0.0943982657013,0.0944448967953,0.0943982657013,,,,,,,,,,
270,12.6,0.0945911092092,0.0945544821084,0.094583783789,0.0945911092092,,,,,,,,,,
270,14.6,0.0943563869067,0.0940438527829,0.0941063596077,0.0940438527829,,,,,,,,,,
180,7.7,0.0943070913775,0.0940191965357,0.0940767755041,0.0940191965357,,,,,,,,,,
180,14,0.0942163815774,0.0934730085221,0.0936216831331,0.0934730085221,,,,,,,,,,
180,7,0.0941558568348,0.0938941827108,0.09410352201,0.0941558568348,,,,,,,,,,
270,4.5,0.094015254613,0.0931757754481,0.09384735878,0.094015254613,,,,,,,,,,
270,5.5,0.093839288328,0.0937469760019,0.0937654384671,0.0937469760019,,,,,,,,,,
160,8.1,0.0938231726788,0.0922102588859,0.0935005899203,0.0938231726788,,,,,,,,,,
130,5.5,0.0938230129907,0.0933665723608,0.0934578604868,0.0933665723608,,,,,,,,,,
270,7,0.0935906706066,0.092770572296,0.0934266509445,0.0935906706066,,,,,,,,,,
180,11.9,0.0935630474953,0.0929289651732,0.0930557816376,0.0929289651732,,,,,,,,,,
180,7.9,0.093470068261,0.0927456637514,0.0933251873591,0.093470068261,,,,,,,,,,
270,10,0.0934512879267,0.0931026771697,0.0933815657753,0.0934512879267,,,,,,,,,,
160,6.5,0.0934354830702,0.093122081152,0.0933728026865,0.0934354830702,,,,,,,,,,
160,8.5,0.0934191621019,0.0918555572312,0.0931064411278,0.0934191621019,,,,,,,,,,
270,13.5,0.0933768991127,0.0926530979108,0.0932321388723,0.0933768991127,,,,,,,,,,
160,3,0.0932260905528,0.0928669126634,0.0931542549749,0.0932260905528,,,,,,,,,,
180,8.3,0.0931162279228,0.0930690056068,0.0931067834596,0.0931162279228,,,,,,,,,,
160,15.5,0.0931049304399,0.0920470355558,0.0922586145326,0.0920470355558,,,,,,,,,,
160,3.5,0.0929189416533,0.0927305777427,0.0928812688712,0.0929189416533,,,,,,,,,,
160,5,0.092829327705,0.0927190187626,0.0928072659165,0.092829327705,,,,,,,,,,
130,6.5,0.0927118186091,0.0926634416917,0.0927021432256,0.0927118186091,,,,,,,,,,
160,11.9,0.0926070375525,0.0920791739915,0.0921847467037,0.0920791739915,,,,,,,,,,
160,10.5,0.0923993024475,0.091448009546,0.0916382681263,0.091448009546,,,,,,,,,,
160,12.3,0.0922998702356,0.0921325706373,0.0921660305569,0.0921325706373,,,,,,,,,,
160,8.3,0.0921038786352,0.0920780912807,0.0920832487516,0.0920780912807,,,,,,,,,,
270,15.5,0.0920291765021,0.0918356449629,0.0918743512708,0.0918356449629,,,,,,,,,,
160,8,0.0918736231252,0.0912393788681,0.0917467742738,0.0918736231252,,,,,,,,,,
125,6.5,0.0918151704829,0.0915886358417,0.0916339427699,0.0915886358417,,,,,,,,,,
