K_cap,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
220,0.518237179156,0.518237179156,0.518237179156,0.518237179156,2
220,0.518237179156,0.518237179156,0.518237179156,0.518237179156,2
220,0.518237179156,0.518237179156,0.518237179156,0.518237179156,2
200,0.517276866953,0.517276866953,0.517276866953,0.517276866953,2
200,0.517276866953,0.517276866953,0.517276866953,0.517276866953,2
200,0.517276866953,0.517276866953,0.517276866953,0.517276866953,2
240,0.516154509975,0.516154509975,0.516154509975,0.516154509975,2
240,0.516154509975,0.516154509975,0.516154509975,0.516154509975,2
240,0.516154509975,0.516154509975,0.516154509975,0.516154509975,2
250,0.516031700984,0.515610360857,0.515947432959,0.516031700984,2
250,0.515610360857,0.515610360857,0.515610360857,0.515610360857,2
250,0.515610360857,0.515610360857,0.515610360857,0.515610360857,2
180,0.512405015493,0.511549179218,0.512233848238,0.512405015493,2
180,0.512405015493,0.512405015493,0.512405015493,0.512405015493,2
180,0.512405015493,0.512405015493,0.512405015493,0.512405015493,2
150,0.508618895107,0.508618895107,0.508618895107,0.508618895107,2
150,0.508618895107,0.508618895107,0.508618895107,0.508618895107,2
160,0.507778007985,0.507778007985,0.507778007985,0.507778007985,2
160,0.507778007985,0.507778007985,0.507778007985,0.507778007985,2
160,0.507778007985,0.507778007985,0.507778007985,0.507778007985,2
130,0.507651771052,0.507651771052,0.507651771052,0.507651771052,2
130,0.507651771052,0.507651771052,0.507651771052,0.507651771052,2
140,0.506443313405,0.506443313405,0.506443313405,0.506443313405,2
140,0.506443313405,0.506443313405,0.506443313405,0.506443313405,2
140,0.506443313405,0.506443313405,0.506443313405,0.506443313405,2
135,0.506361987593,0.506361987593,0.506361987593,0.506361987593,2
135,0.506361987593,0.506361987593,0.506361987593,0.506361987593,2
135,0.506361987593,0.506361987593,0.506361987593,0.506361987593,2
70,0.50413252247,0.50413252247,0.50413252247,0.50413252247,2
70,0.50413252247,0.50413252247,0.50413252247,0.50413252247,2
70,0.50413252247,0.50413252247,0.50413252247,0.50413252247,2
40,0.502822895606,0.502822895606,0.502822895606,0.502822895606,2
60,0.500634351936,0.500634351936,0.500634351936,0.500634351936,2
50,0.499183685471,0.499183685471,0.499183685471,0.499183685471,2
270,0.498170946193,0.498170946193,0.498170946193,0.498170946193,2
270,0.498170946193,0.498170946193,0.498170946193,0.498170946193,2
270,0.498170946193,0.498170946193,0.498170946193,0.498170946193,2
110,0.495222553842,0.495222553842,0.495222553842,0.495222553842,2
110,0.495222553842,0.495222553842,0.495222553842,0.495222553842,2
110,0.495222553842,0.495222553842,0.495222553842,0.495222553842,2
115,0.493681109934,0.493681109934,0.493681109934,0.493681109934,2
115,0.493681109934,0.493017689652,0.493150373708,0.493017689652,2
100,0.493255708903,0.493255708903,0.493255708903,0.493255708903,2
100,0.493255708903,0.493255708903,0.493255708903,0.493255708903,2
115,0.493017689652,0.493017689652,0.493017689652,0.493017689652,2
105,0.492903528479,0.492903528479,0.492903528479,0.492903528479,2
105,0.492903528479,0.492903528479,0.492903528479,0.492903528479,2
105,0.492903528479,0.492903528479,0.492903528479,0.492903528479,2
120,0.49230295178,0.49230295178,0.49230295178,0.49230295178,2
120,0.49230295178,0.49230295178,0.49230295178,0.49230295178,2
120,0.49230295178,0.49230295178,0.49230295178,0.49230295178,2
90,0.49139207748,0.489579836365,0.489942284588,0.489579836365,2
30,0.491132573872,0.491132573872,0.491132573872,0.491132573872,2
90,0.490997641446,0.489092687612,0.489473678379,0.489092687612,2
80,0.489437079428,0.489437079428,0.489437079428,0.489437079428,2
90,0.489092687612,0.489092687612,0.489092687612,0.489092687612,2
90,0.489092687612,0.489092687612,0.489092687612,0.489092687612,2
125,0.489083826827,0.489083826827,0.489083826827,0.489083826827,2
125,0.489083826827,0.489083826827,0.489083826827,0.489083826827,2
300,0.485801963558,0.485762064154,0.485770044034,0.485762064154,2
300,0.485801963558,0.485801963558,0.485801963558,0.485801963558,2
300,0.485762064154,0.485762064154,0.485762064154,0.485762064154,2
350,0.460728516181,0.459832848441,0.460549382633,0.460728516181,2
350,0.459832848441,0.459832848441,0.459832848441,0.459832848441,2
350,0.459832848441,0.459832848441,0.459832848441,0.459832848441,2
380,0.45531770408,0.454695710248,0.455193305314,0.45531770408,2
380,0.454695710248,0.454695710248,0.454695710248,0.454695710248,2
380,0.454695710248,0.454695710248,0.454695710248,0.454695710248,2
400,0.454040722683,0.453831901609,0.453873665824,0.453831901609,2
400,0.453213483606,0.453001624578,0.4531711118,0.453213483606,2
520,0.440512199118,0.43896191209,0.439271969496,0.43896191209,2
520,0.440160771665,0.439560580469,0.439680618708,0.439560580469,2
520,0.439728529558,0.439209627874,0.439624749222,0.439728529558,2
440,0.439545711161,0.439234085763,0.439483386081,0.439545711161,2
440,0.439270773568,0.438141197204,0.439044858295,0.439270773568,2
440,0.439270773568,0.439234085763,0.439263436007,0.439270773568,2
480,0.435862433864,0.43463092335,0.435616131762,0.435862433864,2
500,0.435817001836,0.434888593006,0.435074274772,0.434888593006,2
560,0.435805537531,0.435259098239,0.435368386098,0.435259098239,2
480,0.435738272784,0.434289070061,0.434578910605,0.434289070061,2
560,0.435710658672,0.435163819276,0.435601290793,0.435710658672,2
500,0.435335981985,0.435162614067,0.435301308402,0.435335981985,2
560,0.435259098239,0.435163819276,0.435182875069,0.435163819276,2
500,0.435162614067,0.434702140219,0.434794234988,0.434702140219,2
480,0.434760502026,0.434432194803,0.434694840581,0.434760502026,2
600,0.434405256549,0.434405256549,0.434405256549,0.434405256549,2
600,0.434405256549,0.434405256549,0.434405256549,0.434405256549,2
600,0.434405256549,0.434405256549,0.434405256549,0.434405256549,2
800,0.433987760371,0.433187464012,0.433347523284,0.433187464012,2
700,0.42962806563,0.429546005679,0.429562417669,0.429546005679,2
