K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice,,,,,,,,,
71,70,0.543167087203,0.543167087203,0.543167087203,0.543167087203,3,,,,,,,,,
71,70,0.543167087203,0.543167087203,0.543167087203,0.543167087203,3,,,,,,,,,
71,70,0.543167087203,0.542653640872,0.542756330138,0.542653640872,3,,,,,,,,,
250,105,0.541083251203,0.541083251203,0.541083251203,0.541083251203,3,,,,,,,,,
250,105,0.541083251203,0.541083251203,0.541083251203,0.541083251203,3,,,,,,,,,
250,105,0.541083251203,0.541083251203,0.541083251203,0.541083251203,3,,,,,,,,,
250,115,0.540217131679,0.540217131679,0.540217131679,0.540217131679,3,,,,,,,,,
250,115,0.540217131679,0.540217131679,0.540217131679,0.540217131679,3,,,,,,,,,
250,115,0.540217131679,0.540217131679,0.540217131679,0.540217131679,3,,,,,,,,,
220,85,0.540026472175,0.540026472175,0.540026472175,0.540026472175,3,,,,,,,,,
220,89,0.540026472175,0.540026472175,0.540026472175,0.540026472175,3,,,,,,,,,
250,75,0.539865790674,0.539865790674,0.539865790674,0.539865790674,3,,,,,,,,,
270,124,0.539821935026,0.539821935026,0.539821935026,0.539821935026,3,,,,,,,,,
250,125,0.539645285837,0.539645285837,0.539645285837,0.539645285837,3,,,,,,,,,
250,125,0.539645285837,0.539645285837,0.539645285837,0.539645285837,3,,,,,,,,,
250,125,0.539645285837,0.539645285837,0.539645285837,0.539645285837,3,,,,,,,,,
220,95,0.539613958649,0.538475557569,0.539386278433,0.539613958649,3,,,,,,,,,
250,70,0.539384033366,0.539384033366,0.539384033366,0.539384033366,3,,,,,,,,,
250,70,0.539384033366,0.539384033366,0.539384033366,0.539384033366,3,,,,,,,,,
250,70,0.539384033366,0.539384033366,0.539384033366,0.539384033366,3,,,,,,,,,
250,95,0.539310848727,0.539310848727,0.539310848727,0.539310848727,3,,,,,,,,,
250,80,0.539301381886,0.539301381886,0.539301381886,0.539301381886,3,,,,,,,,,
250,85,0.539301381886,0.539301381886,0.539301381886,0.539301381886,3,,,,,,,,,
270,129,0.539274535947,0.539274535947,0.539274535947,0.539274535947,3,,,,,,,,,\
240,85,0.539189112793,0.539189112793,0.539189112793,0.539189112793,3,,,,,,,,,
240,80,0.539146708694,0.539146708694,0.539146708694,0.539146708694,3,,,,,,,,,
240,75,0.539104595318,0.539104595318,0.539104595318,0.539104595318,3,,,,,,,,,
220,80,0.539083509077,0.538931747439,0.53905315675,0.539083509077,3,,,,,,,,,
220,65,0.538957139009,0.538957139009,0.538957139009,0.538957139009,3,,,,,,,,,
220,75,0.5388957785,0.5388957785,0.5388957785,0.5388957785,3,,,,,,,,,
250,69,0.538886653337,0.538886653337,0.538886653337,0.538886653337,3,,,,,,,,,
