K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
80,16,0.298928317106,0.280975025727,0.29533765883,0.298928317106,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,6.5,0.28837486198,0.266087912715,0.283917472127,0.28837486198,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,7,0.277284462477,0.268330560265,0.270121340707,0.268330560265,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
65,9,0.276639733402,0.271441731537,0.27248133191,0.271441731537,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
75,7,0.274340001798,0.264606515412,0.272393304521,0.274340001798,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,12.6,0.274175429376,0.268979143021,0.273136172105,0.274175429376,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
65,8.5,0.271115952635,0.268693520084,0.270631466125,0.271115952635,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,13.2,0.268528573812,0.265071843567,0.267837227763,0.268528573812,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
70,8.3,0.26601079661,0.26601079661,0.26601079661,0.26601079661,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,12.9,0.265988552184,0.260616247886,0.264914091324,0.265988552184,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
55,11.5,0.261433468344,0.250433249673,0.252633293407,0.250433249673,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,13.5,0.261211057209,0.260653556199,0.260765056401,0.260653556199,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,13.5,0.259441383006,0.257970095686,0.25826435315,0.257970095686,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
55,10.5,0.257507457295,0.257034308599,0.257128938338,0.257034308599,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,10,0.257293298905,0.256353647995,0.257105368723,0.257293298905,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
55,10,0.244090721169,0.243699541523,0.24401248524,0.244090721169,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,6.5,0.19307183208,0.184235701215,0.191304605907,0.19307183208,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,6.5,0.185881629108,0.183211494566,0.183745521474,0.183211494566,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,7.7,0.181251089486,0.171280986834,0.173275007364,0.171280986834,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
75,7.7,0.181204697093,0.17931404858,0.179692178283,0.17931404858,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
80,6,0.179992991738,0.179959531164,0.179966223279,0.179959531164,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
50,2.5,0.179483099474,0.177854178101,0.179157315199,0.179483099474,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,7.5,0.177669455501,0.175363411842,0.175824620574,0.175363411842,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,7.9,0.177651285444,0.169105686732,0.170814806474,0.169105686732,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
70,2.5,0.177627190557,0.173489213887,0.174316809221,0.173489213887,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,7.7,0.176810459119,0.171121022589,0.172258909895,0.171121022589,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
50,12.6,0.174563487335,0.161012410377,0.163722625768,0.161012410377,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,2.5,0.173941550804,0.165196301301,0.166945351202,0.165196301301,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,2,0.173798676637,0.167796338887,0.168996806437,0.167796338887,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
65,4,0.17162144462,0.16824690706,0.168921814572,0.16824690706,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
55,2,0.170811960027,0.167766448388,0.168375550716,0.167766448388,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,10.5,0.169954022226,0.161760054317,0.168315228644,0.169954022226,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,13.2,0.16925247637,0.161671541807,0.167736289457,0.16925247637,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,8.1,0.168589854281,0.162867306916,0.164011816389,0.162867306916,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
55,12.1,0.167942148593,0.162068562556,0.166767431385,0.167942148593,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
65,2,0.167341739364,0.105348330446,0.15494305758,0.167341739364,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,2.5,0.166242513615,0.157424762132,0.159188312429,0.157424762132,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,14.9,0.166228567856,0.158827111427,0.160307402713,0.158827111427,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,8,0.165593536157,0.16333094022,0.163783459407,0.16333094022,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,8.1,0.164755370145,0.164096268171,0.164623549751,0.164755370145,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,3,0.164596838972,0.161292487339,0.161953357666,0.161292487339,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,2,0.164483869301,0.158511627633,0.159706075966,0.158511627633,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,7.7,0.164046589433,0.16096455327,0.161580960503,0.16096455327,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,14.2,0.163928266232,0.161905848994,0.162310332441,0.161905848994,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,12.3,0.163300906169,0.154055244467,0.155904376807,0.154055244467,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,7.9,0.16320658608,0.159849934533,0.16253525577,0.16320658608,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,7.9,0.163115709896,0.161491680225,0.162790903961,0.163115709896,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,11,0.162092336186,0.160147292443,0.160536301192,0.160147292443,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,14.7,0.161822394039,0.155964134585,0.160650742148,0.161822394039,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,8.5,0.159994827576,0.156939861151,0.159383834291,0.159994827576,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,12.1,0.158253877661,0.156888977737,0.157980897676,0.158253877661,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,11.7,0.158233439862,0.153016222009,0.154059665579,0.153016222009,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,12.6,0.157644988138,0.156788028309,0.157473596172,0.157644988138,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,8.3,0.156692922491,0.154947792012,0.156343896395,0.156692922491,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
70,3.5,0.156273302003,0.156075624364,0.156233766475,0.156273302003,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
75,7.9,0.155816019587,0.154557033355,0.154808830601,0.154557033355,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
90,8.3,0.155453327221,0.154152031237,0.155193068024,0.155453327221,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,15.5,0.1551213807,0.145637387821,0.147534186397,0.145637387821,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
50,1.1,0.154949920102,0.142957080729,0.145355648603,0.142957080729,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,6.5,0.154549334538,0.149957751389,0.150876068019,0.149957751389,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,13.5,0.154117585009,0.152005260372,0.152427725299,0.152005260372,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,14,0.153875430032,0.149666152215,0.153033574468,0.153875430032,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
70,8.1,0.153499813345,0.153234344688,0.153287438419,0.153234344688,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,13.5,0.153409899074,0.149447362579,0.150239869878,0.149447362579,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,11.5,0.15090180335,0.14770167236,0.148341698558,0.14770167236,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,12.9,0.150554629575,0.144092327374,0.149262169135,0.150554629575,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
65,2.5,0.150542727581,0.14964065834,0.149821072188,0.14964065834,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
45,1.1,0.148347513081,0.143904888517,0.147458988169,0.148347513081,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
60,10.5,0.148115755008,0.144233276411,0.14500977213,0.144233276411,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,8.1,0.144711288348,0.132929059597,0.135285505347,0.132929059597,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
85,3,0.142482216595,0.142127467789,0.142411266834,0.142482216595,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,1.1,0.140471093123,0.136733859436,0.137481306173,0.136733859436,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,13.5,0.135439048001,0.13291171152,0.134933580705,0.135439048001,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,14.4,0.134564344078,0.127091137654,0.128585778938,0.127091137654,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,13.5,0.134561898075,0.128566443149,0.13336280709,0.134561898075,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
35,4,0.134403893607,0.132129718073,0.13258455318,0.132129718073,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,14.6,0.132488515339,0.129725626894,0.130278204583,0.129725626894,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,14.7,0.131540765745,0.128363133672,0.13090523933,0.131540765745,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,3,0.130046422117,0.128391484795,0.128722472259,0.128391484795,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
30,10,0.12925108139,0.120510352754,0.127502935663,0.12925108139,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
21,5,0.128442079273,0.113398004393,0.125433264297,0.128442079273,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
25,7.7,0.127437003817,0.123353414424,0.124170132303,0.123353414424,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
14,4,0.126838378517,0.109608569325,0.123392416679,0.126838378517,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,14.9,0.126606071703,0.123260280093,0.125936913381,0.126606071703,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
40,5,0.126168078758,0.124203838741,0.125775230755,0.126168078758,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
20,8.5,0.124202437356,0.107380196072,0.110744644328,0.107380196072,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
35,11.5,0.12392322741,0.104814621117,0.120101506152,0.12392322741,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
16,6.5,0.123356783592,0.112341860468,0.121153798967,0.123356783592,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,3.5,0.123030662819,0.113105470181,0.115090508708,0.113105470181,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
14,6,0.122821288444,0.120223045624,0.120742694188,0.120223045624,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
17,7.7,0.12269427819,0.121101945957,0.122375811744,0.12269427819,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
35,7.5,0.12259024917,0.10741002966,0.119554205268,0.12259024917,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,9.5,0.122395624768,0.116412833724,0.117609391933,0.116412833724,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
14,15.5,0.122247093455,0.117351362081,0.12126794718,0.122247093455,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
35,1.1,0.122136822343,0.113608434784,0.120431144831,0.122136822343,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,8.5,0.122023474244,0.121103234886,0.121287282758,0.121103234886,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
19,2.5,0.121700883861,0.11484025083,0.120328757255,0.121700883861,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
19,4.5,0.12136350054,0.115248065003,0.11647115211,0.115248065003,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
30,3.5,0.121145306505,0.11318935071,0.119554115346,0.121145306505,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
16,12.3,0.12113053263,0.12113053263,0.12113053263,0.12113053263,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,2,0.120687160375,0.120687160375,0.120687160375,0.120687160375,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
19,9,0.120683905645,0.119352625946,0.120417649706,0.120683905645,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
25,7.5,0.12001087702,0.116436155614,0.117151099895,0.116436155614,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
13,8,0.11978781088,0.113583976397,0.114824743294,0.113583976397,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
16,14.4,0.119450630516,0.106109943448,0.116782493102,0.119450630516,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
14,12.9,0.119138153323,0.11826655295,0.118963833249,0.119138153323,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
16,14.9,0.119071649499,0.104232923159,0.107200668427,0.104232923159,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
20,9,0.119037828192,0.116466610496,0.116980854036,0.116466610496,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,7.5,0.119034760475,0.107010351474,0.109415233274,0.107010351474,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
23,8.5,0.119030080791,0.113451096911,0.117914284015,0.119030080791,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
14,11,0.118963234173,0.117601815836,0.118690950506,0.118963234173,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
18,4,0.118788510171,0.111355182383,0.117301844614,0.118788510171,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,8.1,0.118429478044,0.114486574995,0.117640897434,0.118429478044,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
17,9,0.118382213638,0.109281893314,0.111101957379,0.109281893314,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
15,14,0.118297297734,0.116507355193,0.116865343701,0.116507355193,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
17,8.5,0.11801145662,0.109805288915,0.111446522456,0.109805288915,10,1,0,2510,./proteins/nup116_sparse/,plain_aff
