K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
85,9,0.292500395688,0.280737669277,0.283090214559,0.280737669277,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,10.5,0.292223968376,0.283083430556,0.28491153812,0.283083430556,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,5,0.292083688723,0.291903555963,0.291939582515,0.291903555963,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,11.5,0.29207743918,0.29018647978,0.29056467166,0.29018647978,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
85,15.5,0.291930391777,0.275389013725,0.278697289335,0.275389013725,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,12.6,0.29185474426,0.287337729281,0.290951341264,0.29185474426,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,7.5,0.291441058509,0.287221976307,0.290597242069,0.291441058509,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
90,14.2,0.2913535509,0.289822354889,0.291047311698,0.2913535509,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,6,0.29121053067,0.271177996774,0.287204023891,0.29121053067,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,8.1,0.289870798627,0.286786585486,0.287403428114,0.286786585486,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,11.5,0.289870798627,0.278210272645,0.280542377841,0.278210272645,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,14.7,0.289870798627,0.286786585486,0.287403428114,0.286786585486,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,9.5,0.289664237804,0.261633779926,0.284058146228,0.289664237804,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,14.6,0.289664237804,0.278645742792,0.280849441794,0.278645742792,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
80,7.9,0.289571340771,0.287102975329,0.289077667682,0.289571340771,10,4,0,2510,./proteins/nup116_sparse/,plain_aff
