K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
90,-1,2,0.508838298435,0.495700030359,0.498327683974,0.495700030359,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
85,-1,2,0.519856082827,0.49476276433,0.499781428029,0.49476276433,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
80,-1,2,0.533813238589,0.530253062539,0.533101203379,0.533813238589,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
75,-1,2,0.536029207999,0.524335675419,0.533690501483,0.536029207999,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
70,-1,2,0.531399968577,0.506796630457,0.511717298081,0.506796630457,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
65,-1,2,0.529863839049,0.507259162146,0.525342903668,0.529863839049,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
60,-1,2,0.555088530749,0.539575030819,0.551985830763,0.555088530749,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
55,-1,2,0.529484318643,0.526536636,0.527126172529,0.526536636,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
50,-1,2,0.533898782906,0.518103344152,0.530739695155,0.533898782906,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
45,-1,2,0.545646688164,0.545646688164,0.545646688164,0.545646688164,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
40,-1,2,0.559072979714,0.54720066715,0.556698517201,0.559072979714,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
35,-1,2,0.619777002081,0.619777002081,0.619777002081,0.619777002081,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
30,-1,2,0.642747825821,0.642747825821,0.642747825821,0.642747825821,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
25,-1,2,0.631048808696,0.631048808696,0.631048808696,0.631048808696,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
24,-1,2,0.647074069545,0.637450520663,0.639375230439,0.637450520663,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
23,-1,2,0.637640413905,0.637640413905,0.637640413905,0.637640413905,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
22,-1,2,0.62526918069,0.62526918069,0.62526918069,0.62526918069,10,2,0,2510,./proteins/nup116_sparse/,plain_aff
