,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice,protein
5859,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5860,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5861,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5862,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5863,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5864,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5865,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5866,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5867,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5868,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5869,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5870,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5871,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5872,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5873,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5874,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5875,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5876,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5877,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5878,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5879,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5880,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5881,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5882,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5883,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5884,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5885,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5886,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5887,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5888,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5889,0.0573275887646,0.0573275887646,0.0573275887646,0.0573275887646,4,trp
5890,0.057315406732599994,0.05352611803719999,0.0565575489936,0.057315406732599994,1,trp
5891,0.0573054502085,0.0557437658953,0.0569931133459,0.0573054502085,1,trp
5892,0.0572786894344,0.0494813051688,0.0557192125813,0.0572786894344,1,trp
5893,0.05724790702430001,0.055786785364199995,0.0560790096962,0.055786785364199995,1,trp
5894,0.0571953627766,0.0565398347661,0.057064257174500005,0.0571953627766,4,trp
5895,0.0570249016967,0.05451485115669999,0.0565228915887,0.0570249016967,1,trp
5896,0.0570072637978,0.048828127135300006,0.0504639544678,0.048828127135300006,1,trp
5897,0.0569473747426,0.0569473747426,0.0569473747426,0.0569473747426,4,trp
5898,0.0566221415147,0.054091232771500006,0.056115959766,0.0566221415147,1,trp
5899,0.05656284388090001,0.052034817216099996,0.0556572385479,0.05656284388090001,1,trp
5900,0.0564224411522,0.053065908231800005,0.0537372148159,0.053065908231800005,1,trp
5901,0.0563770038955,0.05545187080680001,0.055636897424499995,0.05545187080680001,1,trp
5902,0.0562826942222,0.0537090431041,0.054223773327800005,0.0537090431041,1,trp
5903,0.0562563375041,0.0562563375041,0.0562563375041,0.0562563375041,1,trp
5904,0.056241981323499994,0.05491683082380001,0.0551818609238,0.05491683082380001,1,trp
5905,0.0561968320588,0.0531541581094,0.053762692899299996,0.0531541581094,1,trp
5906,0.0561106775045,0.055158424457400004,0.055348875066900005,0.055158424457400004,1,trp
5907,0.0560282524785,0.053871183563599996,0.05430259734659999,0.053871183563599996,1,trp
5908,0.0560075493494,0.0492428178813,0.0505957641749,0.0492428178813,4,trp
5909,0.0559932453345,0.052485620047800004,0.053187145105099996,0.052485620047800004,1,trp
5910,0.0559867811722,0.05344459654619999,0.0539530334714,0.05344459654619999,1,trp
5911,0.0558237248602,0.055806746644,0.0558203292169,0.0558237248602,1,trp
5912,0.055782635367999996,0.0503737909657,0.05145555984619999,0.0503737909657,1,trp
5913,0.055779189826,0.055779189826,0.055779189826,0.055779189826,1,trp
5914,0.05577551707330001,0.054044984297000005,0.0543910908522,0.054044984297000005,1,trp
5915,0.055759195576300005,0.0516104499991,0.0549294464609,0.055759195576300005,1,trp
5916,0.055713035674900005,0.054792075807099994,0.055528843701300006,0.055713035674900005,1,trp
5917,0.055623135337300005,0.054783831317300004,0.0554552745333,0.055623135337300005,1,trp
5918,0.0555704720883,0.0511248653755,0.05468135074569999,0.0555704720883,1,trp
5919,0.0554825247056,0.051339799171400004,0.0546539795987,0.0554825247056,1,trp
5920,0.0554402366921,0.0482099908142,0.049656039989800005,0.0482099908142,1,trp
5921,0.0554015413381,0.0484412735336,0.0498333270945,0.0484412735336,1,trp
5922,0.0551686562179,0.0478997475368,0.053714874481699995,0.0551686562179,1,trp
5923,0.0551633850175,0.053774038612900005,0.0540519078938,0.053774038612900005,1,trp
5924,0.055102772628499996,0.0487524039073,0.0500224776515,0.0487524039073,4,trp
5925,0.0550590613924,0.0547435255173,0.0549959542174,0.0550590613924,1,trp
5926,0.0550083299895,0.0548992567193,0.054921071373300004,0.0548992567193,1,trp
5927,0.05498141013209999,0.0549027059669,0.054965669299099996,0.05498141013209999,1,trp
5928,0.0549688137669,0.0483320397922,0.053641458972,0.0549688137669,1,trp
5929,0.054937487932400005,0.0468412952854,0.053318249403,0.054937487932400005,1,trp
5930,0.054879547511499996,0.05289117729830001,0.0544818734688,0.054879547511499996,1,trp
5931,0.054858905703,0.0548349388076,0.05485411232390001,0.054858905703,1,trp
5932,0.054595980008800005,0.0529067633632,0.054258136679699996,0.054595980008800005,1,trp
5933,0.0545235290916,0.05183088129940001,0.0523694108579,0.05183088129940001,1,trp
5934,0.0544451738814,0.0525306865343,0.0529135840037,0.0525306865343,4,trp
5935,0.054404031623,0.0461161011175,0.0477736872186,0.0461161011175,1,trp
