K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
19,15,0.403477118585,0.403477118585,0.403477118585,0.403477118585,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,12,0.403447213682,0.385755142702,0.389293556898,0.385755142702,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,13,0.403419334355,0.402822104666,0.403299888417,0.403419334355,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,35,0.402457423429,0.402457423429,0.402457423429,0.402457423429,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,15,0.40199246079,0.40199246079,0.40199246079,0.40199246079,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,12,0.401575695928,0.376122654917,0.381213263119,0.376122654917,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,10,0.400317432277,0.400317432277,0.400317432277,0.400317432277,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,10,0.400317432277,0.397098611377,0.399673668097,0.400317432277,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,10,0.40022581468,0.384303246182,0.39704130098,0.40022581468,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,13,0.399805756422,0.393461217536,0.394730125314,0.393461217536,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,9,0.399038900768,0.399038900768,0.399038900768,0.399038900768,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,40,0.396558925012,0.395982062059,0.39609743465,0.395982062059,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,13,0.395912975234,0.395878077185,0.395905995624,0.395912975234,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,12,0.395878077185,0.376122654917,0.391926992731,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,12,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,13,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,13,0.395878077185,0.395878077185,0.395878077185,0.395878077185,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
