K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
80,40,0,0.483604324096,0.483604324096,0.483604324096,0.483604324096,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,40,0,0.482319538094,0.4812441261,0.482104455696,0.482319538094,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,45,0,0.482319538094,0.482319538094,0.482319538094,0.482319538094,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,30,0,0.481027915095,0.479845558508,0.480791443778,0.481027915095,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,27,0,0.480637002025,0.480540623577,0.480559899267,0.480540623577,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,27,0,0.480637002025,0.480540623577,0.480559899267,0.480540623577,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,30,0,0.480637002025,0.480637002025,0.480637002025,0.480637002025,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,30,0,0.480637002025,0.480637002025,0.480637002025,0.480637002025,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,35,0,0.480637002025,0.480637002025,0.480637002025,0.480637002025,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,24,0,0.479709614908,0.479709614908,0.479709614908,0.479709614908,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,27,0,0.47945479228,0.47945479228,0.47945479228,0.47945479228,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,45,0,0.478221225396,0.478221225396,0.478221225396,0.478221225396,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,20,0,0.478216812062,0.471946731727,0.473200747794,0.471946731727,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,30,0,0.478109876741,0.46968764546,0.471372091717,0.46968764546,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,24,0,0.475934536964,0.475934536964,0.475934536964,0.475934536964,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,27,0,0.475934536964,0.475934536964,0.475934536964,0.475934536964,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,45,0,0.475906996914,0.475906996914,0.475906996914,0.475906996914,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,40,0,0.47528945849,0.474060105585,0.475043587909,0.47528945849,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,45,0,0.474987076106,0.466692660043,0.468351543256,0.466692660043,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,45,0,0.474987076106,0.473793274507,0.474032034827,0.473793274507,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,30,0,0.474532651204,0.474532651204,0.474532651204,0.474532651204,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,20,0,0.473331935458,0.473331935458,0.473331935458,0.473331935458,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,55,0,0.473211725497,0.473211725497,0.473211725497,0.473211725497,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,24,0,0.472429289521,0.472429289521,0.472429289521,0.472429289521,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
