K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
70,45,0.415935621451,0.399874070219,0.412723311205,0.415935621451,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,15,0.414225062276,0.414225062276,0.414225062276,0.414225062276,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,15,0.414225062276,0.414225062276,0.414225062276,0.414225062276,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,15,0.414225062276,0.414225062276,0.414225062276,0.414225062276,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,14,0.414208255031,0.414208255031,0.414208255031,0.414208255031,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,14,0.414208255031,0.414208255031,0.414208255031,0.414208255031,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
18,16,0.413812414871,0.413812414871,0.413812414871,0.413812414871,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,24,0.413387572378,0.413387572378,0.413387572378,0.413387572378,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,20,0.413345497885,0.413345497885,0.413345497885,0.413345497885,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
55,40,0.41196203117,0.41196203117,0.41196203117,0.41196203117,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,16,0.411323413075,0.411323413075,0.411323413075,0.411323413075,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,15,0.411306634065,0.411306634065,0.411306634065,0.411306634065,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,16,0.409838205162,0.400718890603,0.40801434225,0.409838205162,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,55,0.408024856569,0.404891465216,0.407398178298,0.408024856569,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,22,0.407726839173,0.407726839173,0.407726839173,0.407726839173,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
45,35,0.407579829418,0.407579829418,0.407579829418,0.407579829418,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
50,35,0.407578129399,0.401879017553,0.40643830703,0.407578129399,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,17,0.406992979029,0.403420612901,0.404135086127,0.403420612901,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
12,8,0.406317410221,0.406317410221,0.406317410221,0.406317410221,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,16,0.406253806033,0.400855750048,0.401935361245,0.400855750048,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,55,0.405634004233,0.392815573041,0.403070317995,0.405634004233,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,9,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,9,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,10,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,10,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,10,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,11,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,11,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,11,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,12,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,12,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,12,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,12,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,13,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,14,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,14,0.405111496559,0.405111496559,0.405111496559,0.405111496559,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,50,0.405007080964,0.388861552161,0.401777975203,0.405007080964,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
90,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
85,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
80,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
65,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
55,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
50,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
45,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
35,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
30,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
25,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
24,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
23,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
19,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
18,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
17,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
16,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
15,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
14,3,0.404976099684,0.404976099684,0.404976099684,0.404976099684,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
40,19,0.404359419126,0.396338651196,0.40275526554,0.404359419126,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
11,4,0.404178912278,0.404178912278,0.404178912278,0.404178912278,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,10,0.40411927917,0.399317339271,0.400277727251,0.399317339271,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
12,9,0.403870869455,0.403870869455,0.403870869455,0.403870869455,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
60,9,0.40368678943,0.40368678943,0.40368678943,0.40368678943,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
75,8,0.403308268501,0.403308268501,0.403308268501,0.403308268501,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
70,8,0.403308268501,0.403308268501,0.403308268501,0.403308268501,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,14,0.402786223949,0.402786223949,0.402786223949,0.402786223949,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
20,14,0.402786223949,0.402786223949,0.402786223949,0.402786223949,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
19,14,0.402786223949,0.402786223949,0.402786223949,0.402786223949,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
13,3,0.401227392062,0.401227392062,0.401227392062,0.401227392062,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
22,15,0.400855750048,0.396351919222,0.397252685388,0.396351919222,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
21,15,0.400855750048,0.400855750048,0.400855750048,0.400855750048,10,1,0,2510,./proteins/trp-cage_sparse/,entropic_aff
