K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,49,0.579408219605,0.579408219605,0.579408219605,0.579408219605,1508183616.20436,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,99,0.576666818127,0.576666818127,0.576666818127,0.576666818127,1508179774.42555,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,49,0.570562168545,0.570562168545,0.570562168545,0.570562168545,1508182967.44772,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,299,0.569045053441,0.569045053441,0.569045053441,0.569045053441,1508178253.64049,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,99,0.568768527764,0.568768527764,0.568768527764,0.568768527764,1508180542.14877,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,299,0.565366607669,0.565326096205,0.565334198497,0.565326096205,1508177881.86042,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,99,0.562908862715,0.562908862715,0.562908862715,0.562908862715,1508180302.60817,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,49,0.562036410546,0.562036410546,0.562036410546,0.562036410546,1508183566.00028,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,499,0.560014515,0.560014515,0.560014515,0.560014515,1508176143.35802,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,299,0.559665383649,0.559665383649,0.559665383649,0.559665383649,1508178427.9489,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
8000,499,0.556441983434,0.556426240208,0.556438834789,0.556441983434,1508176319.08835,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,499,0.553194661127,0.553194661127,0.553194661127,0.553194661127,1508176023.40487,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,99,0.552955279279,0.552955279279,0.552955279279,0.552955279279,1508180163.42838,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,499,0.552252331508,0.552252331508,0.552252331508,0.552252331508,1508176148.04815,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,49,0.552045504726,0.552045504726,0.552045504726,0.552045504726,1508183040.49258,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,299,0.551714492986,0.551714492986,0.551714492986,0.551714492986,1508178246.20029,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,299,0.548574268012,0.548574268012,0.548574268012,0.548574268012,1508177903.53998,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,49,0.547013668162,0.547013668162,0.547013668162,0.547013668162,1508182595.52003,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,499,0.545755498575,0.545755498575,0.545755498575,0.545755498575,1508175194.00044,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
5000,99,0.542329459263,0.542329459263,0.542329459263,0.542329459263,1508180786.71464,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
4000,299,0.53871834663,0.53871834663,0.53871834663,0.53871834663,1508177424.50891,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
9000,999,0.538343275971,0.538343275971,0.538343275971,0.538343275971,1508174258.50255,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
7000,999,0.535885998887,0.535885998887,0.535885998887,0.535885998887,1508174238.15017,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
6000,999,0.534026888195,0.534026888195,0.534026888195,0.534026888195,1508173043.63673,25010,4,25010,./proteins/nup116_dense/,ECOS,0.001,0
