K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
9000,49,mb,0.469478224846,0.469478224846,0.469478224846,1508193714.82309,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,99,0.465992482845,0.465992482845,0.465992482845,0.465992482845,1508190805.42159,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,49,0.465658961188,0.465658961188,0.465658961188,0.465658961188,1508193367.82025,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,49,0.463493855247,0.463493855247,0.463493855247,0.463493855247,1508192978.27781,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,99,0.462580110529,0.462580110529,0.462580110529,0.462580110529,1508190606.85678,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,99,0.461721429998,0.461721429998,0.461721429998,0.461721429998,1508191004.90676,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,49,0.459357070156,0.459357070156,0.459357070156,0.459357070156,1508192645.1722,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
6000,99,0.458388391899,0.458388391899,0.458388391899,0.458388391899,1508190424.88359,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
5000,49,0.441154115281,0.441154115281,0.441154115281,0.441154115281,1508192950.99268,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
8000,499,0.435265969925,0.435265969925,0.435265969925,0.435265969925,1508186175.53948,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
9000,999,0.434670133923,0.415041054459,0.430744318031,0.434670133923,1508184404.9331,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,299,0.432812776423,0.41525107587,0.429300436313,0.432812776423,1508188592.44778,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
7000,499,0.432704430284,0.432704430284,0.432704430284,0.432704430284,1508186375.48756,25010,4,25010,./proteins/gb1_dense/,ECOS,0.001,0
