K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,UNIX_TIME,total_points,algo_choice,num_elements,in_file,solver,plambda,sigma
8000,299,0.403823303472,0.403823303472,0.403823303472,0.403823303472,1508107274.31778,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,299,0.40323957182,0.40323957182,0.40323957182,0.40323957182,1508107124.84493,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,299,0.40302200414,0.402983898144,0.403014382941,0.40302200414,1508106471.36017,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,299,0.402672831947,0.402672831947,0.402672831947,0.402672831947,1508106144.37376,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,299,0.402473848777,0.402473848777,0.402473848777,0.402473848777,1508105634.94421,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,3999,0.400057937606,0.400057937606,0.400057937606,0.400057937606,1508087668.38531,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,99,0.399425915859,0.399425915859,0.399425915859,0.399425915859,1508108587.47961,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1000,99,0.399198908563,0.399198908563,0.399198908563,0.399198908563,1508108444.29812,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
500,99,0.398257027812,0.398257027812,0.398257027812,0.398257027812,1508108222.13997,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,4999,0.392681730973,0.392681730973,0.392681730973,0.392681730973,1508088138.50447,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,4999,0.383415967954,0.383368987497,0.383378383588,0.383368987497,1508087460.10402,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
100,49,0.383221358395,0.383221358395,0.383221358395,0.383221358395,1508112505.27512,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,99,0.376180584057,0.376180584057,0.376180584057,0.376180584057,1508112153.84136,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,4999,0.375998843989,0.375876737478,0.37590115878,0.375876737478,1508087465.74787,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,99,0.37588319473,0.375865764694,0.375869250701,0.375865764694,1508111443.78053,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,99,0.375405221209,0.375405221209,0.375405221209,0.375405221209,1508110850.64396,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,99,0.374762834808,0.374762834808,0.374762834808,0.374762834808,1508110703.41318,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,99,0.374171281148,0.374120301412,0.374130497359,0.374120301412,1508109994.35048,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,3999,0.373883601347,0.373883601347,0.373883601347,0.373883601347,1508086940.13272,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,99,0.373157274159,0.373157274159,0.373157274159,0.373157274159,1508109733.31379,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
500,49,0.372884743522,0.372884743522,0.372884743522,0.372884743522,1508112861.57834,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,99,0.3726993133,0.3726993133,0.3726993133,0.3726993133,1508109201.33585,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,99,0.371903462883,0.371903462883,0.371903462883,0.371903462883,1508108875.09486,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
3000,49,0.35694362268,0.356936164167,0.356942130977,0.35694362268,1508113874.34815,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
5000,49,0.356647673021,0.356647673021,0.356647673021,0.356647673021,1508114553.90908,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
4000,49,0.356606950462,0.356606950462,0.356606950462,0.356606950462,1508114165.22681,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
2000,49,0.356433930026,0.356408097586,0.356428763538,0.356433930026,1508113449.91746,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
9000,49,0.356392600613,0.356392600613,0.356392600613,0.356392600613,1508116518.35633,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
8000,49,0.356353954818,0.356353954818,0.356353954818,0.356353954818,1508115947.14345,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
6000,49,0.35613226517,0.356110346833,0.356127881503,0.35613226517,1508115038.28046,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
7000,49,0.356027737061,0.356022601852,0.356026710019,0.356027737061,1508115508.00477,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1500,49,0.355771226853,0.355771226853,0.355771226853,0.355771226853,1508113446.84722,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
1000,49,0.355703716549,0.355703716549,0.355703716549,0.355703716549,1508113109.02427,25010,1,25010,./proteins/trp-cage_dense/,ECOS,0.001,0
