K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med,algo_choice
150,70,0.441236781689,0.441236781689,0.441236781689,0.441236781689,3
71,70,0.425721094897,0.425721094897,0.425721094897,0.425721094897,3
400,70,0.432978812099,0.432978812099,0.432978812099,0.432978812099,3
80,70,0.420079790102,0.420079790102,0.420079790102,0.420079790102,3
200,70,0.4489455657,0.4489455657,0.4489455657,0.4489455657,3
76,70,0.421904078347,0.421904078347,0.421904078347,0.421904078347,3
500,70,0.417460923427,0.417460923427,0.417460923427,0.417460923427,3
300,70,0.428752170566,0.428752170566,0.428752170566,0.428752170566,3
250,70,0.443129077133,0.443129077133,0.443129077133,0.443129077133,3
600,70,0.421089822134,0.421089822134,0.421089822134,0.421089822134,3
250,149,0.443740207904,0.443740207904,0.443740207904,0.443740207904,3
400,199,0.428258728908,0.428258728908,0.428258728908,0.428258728908,3
500,299,0.431725711129,0.431725711129,0.431725711129,0.431725711129,3
500,249,0.431491212224,0.431491212224,0.431491212224,0.431491212224,3
500,399,0.428913028723,0.428702677015,0.428870958382,0.428913028723,3
600,499,0.424679949887,0.424679949887,0.424679949887,0.424679949887,3
600,599,0.359197911071,0.359197911071,0.359197911071,0.359197911071,3
71,70,0.441303522804,0.441303522804,0.441303522804,0.441303522804,4
600,70,0.481272550826,0.481272550826,0.481272550826,0.481272550826,4
76,70,0.440984097458,0.440984097458,0.440984097458,0.440984097458,4
200,70,0.473142412768,0.473142412768,0.473142412768,0.473142412768,4
250,70,0.475437324635,0.475437324635,0.475437324635,0.475437324635,4
80,70,0.458196662378,0.437692302795,0.441793174712,0.437692302795,4
300,70,0.474973795736,0.474973795736,0.474973795736,0.474973795736,4
150,70,0.461216729096,0.461216729096,0.461216729096,0.461216729096,4
400,70,0.47816192752,0.47816192752,0.47816192752,0.47816192752,4
500,70,0.479407294993,0.479407294993,0.479407294993,0.479407294993,4
400,149,0.433931246044,0.433931246044,0.433931246044,0.433931246044,4
200,149,0.448209749267,0.448209749267,0.448209749267,0.448209749267,4
600,149,0.437461625515,0.437461625515,0.437461625515,0.437461625515,4
250,149,0.452525003921,0.452525003921,0.452525003921,0.452525003921,4
300,149,0.452062431533,0.452062431533,0.452062431533,0.452062431533,4
150,149,0.439661528819,0.439661528819,0.439661528819,0.439661528819,4
500,149,0.436216966885,0.436216966885,0.436216966885,0.436216966885,4
200,199,0.446475068043,0.446475068043,0.446475068043,0.446475068043,4
400,199,0.47486741339,0.47486741339,0.47486741339,0.47486741339,4
600,199,0.477461840526,0.477461840526,0.477461840526,0.477461840526,4
300,199,0.471998883566,0.471998883566,0.471998883566,0.471998883566,4
250,199,0.448487564908,0.448487564908,0.448487564908,0.448487564908,4
500,199,0.474837268711,0.474837268711,0.474837268711,0.474837268711,4
400,249,0.472373393502,0.472373393502,0.472373393502,0.472373393502,4
250,249,0.470899200948,0.470899200948,0.470899200948,0.470899200948,4
500,249,0.475624026829,0.475624026829,0.475624026829,0.475624026829,4
300,299,0.468124044365,0.468124044365,0.468124044365,0.468124044365,4
400,299,0.471846303529,0.471846303529,0.471846303529,0.471846303529,4
500,299,0.47420727287,0.47420727287,0.47420727287,0.47420727287,4
600,299,0.478160847564,0.478160847564,0.478160847564,0.478160847564,4
600,249,0.478510468962,0.478510468962,0.478510468962,0.478510468962,4
300,249,0.471673014572,0.471673014572,0.471673014572,0.471673014572,4
400,399,0.465998428289,0.465998428289,0.465998428289,0.465998428289,4
500,399,0.46925136232,0.46925136232,0.46925136232,0.46925136232,4
500,499,0.465769870449,0.465769870449,0.465769870449,0.465769870449,4
600,399,0.473014990368,0.473014990368,0.473014990368,0.473014990368,4
600,499,0.472051662737,0.472051662737,0.472051662737,0.472051662737,4
600,599,0.421218929592,0.421218929592,0.421218929592,0.421218929592,4
600,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
450,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
550,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
270,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
500,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
400,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
300,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
350,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
250,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
180,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
220,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
140,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
160,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
150,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
200,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
130,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
135,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
70,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
115,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
100,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
125,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
110,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
90,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
120,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
105,50,0.462138181164,0.462138181164,0.462138181164,0.462138181164,1
600,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
550,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
500,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
520,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
400,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
270,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
240,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
450,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
350,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
300,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
180,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
250,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
220,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
200,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
135,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
100,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
105,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
140,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
90,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
110,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
150,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
115,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
160,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
120,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
125,55,0.461265392511,0.461265392511,0.461265392511,0.461265392511,1
