K_cap,k_low,NMI_max,NMI_min,NMI_avg,NMI_med
60,59,0.466164469856,0.466164469856,0.466164469856,0.466164469856
180,149,0.452728800059,0.452728800059,0.452728800059,0.452728800059
180,179,0.452500554888,0.452500554888,0.452500554888,0.452500554888
180,89,0.452325961435,0.452325961435,0.452325961435,0.452325961435
180,95,0.452325961435,0.452325961435,0.452325961435,0.452325961435
180,99,0.452325961435,0.452325961435,0.452325961435,0.452325961435
200,159,0.452264454202,0.452264454202,0.452264454202,0.452264454202
180,104,0.45222759389,0.45222759389,0.45222759389,0.45222759389
180,109,0.45212217351,0.45212217351,0.45212217351,0.45212217351
180,114,0.452094846108,0.452094846108,0.452094846108,0.452094846108
180,119,0.452094846108,0.452094846108,0.452094846108,0.452094846108
200,199,0.452051452285,0.452051452285,0.452051452285,0.452051452285
180,75,0.452050457816,0.452050457816,0.452050457816,0.452050457816
180,80,0.452028858506,0.452028858506,0.452028858506,0.452028858506
180,85,0.452028858506,0.452028858506,0.452028858506,0.452028858506
180,124,0.451977886666,0.451977886666,0.451977886666,0.451977886666
180,129,0.451977886666,0.451977886666,0.451977886666,0.451977886666
180,139,0.451792394881,0.451792394881,0.451792394881,0.451792394881
200,190,0.45175119441,0.45175119441,0.45175119441,0.45175119441
180,159,0.451321404791,0.451321404791,0.451321404791,0.451321404791
200,179,0.451271858464,0.451271858464,0.451271858464,0.451271858464
240,199,0.451269006301,0.451269006301,0.451269006301,0.451269006301
200,119,0.451197580396,0.451197580396,0.451197580396,0.451197580396
200,124,0.451015130447,0.451015130447,0.451015130447,0.451015130447
200,129,0.451015130447,0.451015130447,0.451015130447,0.451015130447
200,99,0.450936571427,0.450936571427,0.450936571427,0.450936571427
200,104,0.450936571427,0.450936571427,0.450936571427,0.450936571427
200,109,0.450936571427,0.450936571427,0.450936571427,0.450936571427
200,139,0.450915253538,0.450915253538,0.450915253538,0.450915253538
200,114,0.450838909855,0.450838909855,0.450838909855,0.450838909855
160,149,0.450662234034,0.450662234034,0.450662234034,0.450662234034
220,199,0.450552485196,0.450552485196,0.450552485196,0.450552485196
200,149,0.450363566743,0.450363566743,0.450363566743,0.450363566743
220,190,0.45035526477,0.45035526477,0.45035526477,0.45035526477
150,129,0.450216809465,0.450216809465,0.450216809465,0.450216809465
180,69,0.450105729788,0.450105729788,0.450105729788,0.450105729788
220,159,0.44975402541,0.44975402541,0.44975402541,0.44975402541
240,190,0.449569961028,0.449569961028,0.449569961028,0.449569961028
160,159,0.449563939665,0.449563939665,0.449563939665,0.449563939665
180,60,0.449344254875,0.449344254875,0.449344254875,0.449344254875
150,139,0.449341582898,0.449341582898,0.449341582898,0.449341582898
150,149,0.449338324054,0.449338324054,0.449338324054,0.449338324054
180,65,0.449240581706,0.449240581706,0.449240581706,0.449240581706
200,85,0.449230536818,0.449230536818,0.449230536818,0.449230536818
200,89,0.449230536818,0.449230536818,0.449230536818,0.449230536818
200,95,0.449230536818,0.449230536818,0.449230536818,0.449230536818
220,179,0.449166945335,0.449166945335,0.449166945335,0.449166945335
220,149,0.449152069568,0.449152069568,0.449152069568,0.449152069568
150,119,0.44898312113,0.44898312113,0.44898312113,0.44898312113
200,69,0.448953867481,0.448953867481,0.448953867481,0.448953867481
200,70,0.4489455657,0.4489455657,0.4489455657,0.4489455657
250,199,0.448782568317,0.448782568317,0.448782568317,0.448782568317
150,124,0.448770662258,0.448770662258,0.448770662258,0.448770662258
200,60,0.448717535318,0.448717535318,0.448717535318,0.448717535318
200,65,0.448717535318,0.448717535318,0.448717535318,0.448717535318
200,75,0.448699774057,0.448699774057,0.448699774057,0.448699774057
200,80,0.44866028562,0.44866028562,0.44866028562,0.44866028562
180,50,0.448617320247,0.448617320247,0.448617320247,0.448617320247
180,55,0.448617320247,0.448617320247,0.448617320247,0.448617320247
200,50,0.448599486544,0.448599486544,0.448599486544,0.448599486544
200,55,0.448599486544,0.448599486544,0.448599486544,0.448599486544
150,114,0.448447058218,0.448447058218,0.448447058218,0.448447058218
250,190,0.448286818389,0.448286818389,0.448286818389,0.448286818389
220,139,0.448102273319,0.448102273319,0.448102273319,0.448102273319
160,104,0.448027770549,0.448027770549,0.448027770549,0.448027770549
160,109,0.448027770549,0.448027770549,0.448027770549,0.448027770549
220,95,0.448002444861,0.448002444861,0.448002444861,0.448002444861
220,99,0.448002444861,0.448002444861,0.448002444861,0.448002444861
220,104,0.448002444861,0.448002444861,0.448002444861,0.448002444861
160,139,0.447979493391,0.447979493391,0.447979493391,0.447979493391
140,119,0.447975810849,0.447975810849,0.447975810849,0.447975810849
