K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
600,16,0.305377826317,0.30474862404,0.304874464495,0.30474862404
600,15.5,0.304738688991,0.302432683629,0.304277487918,0.304738688991
600,14.5,0.304335601256,0.304325407037,0.304333562413,0.304335601256
600,14,0.304325407037,0.304325407037,0.304325407037,0.304325407037
600,15,0.304325407037,0.304325407037,0.304325407037,0.304325407037
600,13,0.302021212828,0.302021212828,0.302021212828,0.302021212828
600,13.5,0.302021212828,0.302021212828,0.302021212828,0.302021212828
400,2.4,0.299776937862,0.299756120657,0.299760284098,0.299756120657
600,3,0.299667175462,0.299667175462,0.299667175462,0.299667175462
400,2.3,0.29941569296,0.29941569296,0.29941569296,0.29941569296
400,2.5,0.298833271688,0.298833271688,0.298833271688,0.298833271688
600,2.6,0.298185662875,0.298050317369,0.298158593774,0.298185662875
600,2.7,0.298623151646,0.298121647279,0.298221948153,0.298121647279
600,2.5,0.297654407045,0.297469306772,0.297617386991,0.297654407045
600,2.5,0.297638177358,0.297638177358,0.297638177358,0.297638177358
600,2.4,0.295473916211,0.295473916211,0.295473916211,0.295473916211
600,2.4,0.295473916211,0.295473916211,0.295473916211,0.295473916211
600,4,0.294258560717,0.294247190407,0.294249464469,0.294247190407
600,3.5,0.293773152692,0.293584491233,0.2937354204,0.293773152692
600,4.5,0.293708331528,0.293708331528,0.293708331528,0.293708331528
600,5,0.29339723421,0.29339723421,0.29339723421,0.29339723421
500,2.4,0.292923966049,0.292423547983,0.292823882436,0.292923966049
600,2.3,0.29368641701,0.292790785647,0.29296991192,0.292790785647
600,6,0.292747599001,0.292747599001,0.292747599001,0.292747599001
600,5.5,0.292668323658,0.292072385369,0.292549136,0.292668323658
500,2.5,0.292432866332,0.292432866332,0.292432866332,0.292432866332
500,2.3,0.292387594408,0.292362439688,0.292367470632,0.292362439688
600,2.3,0.292270423377,0.292270423377,0.292270423377,0.292270423377
600,6.5,0.292135661058,0.292135661058,0.292135661058,0.292135661058
600,7,0.292069018743,0.292069018743,0.292069018743,0.292069018743
600,11.5,0.291777617389,0.291777617389,0.291777617389,0.291777617389
600,11,0.291777617389,0.2917595195,0.291763139078,0.2917595195
600,12,0.291777617389,0.2917595195,0.291763139078,0.2917595195
